subj,trial,tp,self,other,fair,resp,rt,ffix,fdur,gazeself,gazeother,gazelateself,gazelateother,given
2,44,10,63,18,45,0,7.42261560223869,0,0,40,0,3612,1822,32
2,45,10,96,11,85,0,5.87434902009682,0,0,124,0,1717,2072,39
2,46,10,28,67,-39,0,5.22183466236402,0,0,127,0,1777,1856,-17
2,47,10,99,47,52,1,3.00361886999144,0,0,47,0,967,920,-3
2,48,10,10,88,-78,0,4.85008705657765,0,0,115,0,1595,1709,-38
2,49,10,41,99,-58,1,3.91859996533003,0,0,115,0,1455,977,49
2,50,10,21,55,-34,0,6.50403711204581,0,0,113,0,2790,801,-5
2,51,10,91,20,71,0,3.95876720177785,0,0,127,0,1525,1165,30
2,52,10,95,32,63,1,8.62284864653157,0,0,66,0,2262,3590,-18
2,53,10,80,50,30,1,3.85892734426034,0,0,184,0,1600,923,0
2,54,10,91,25,66,0,5.2150857358929,0,0,223,0,1980,1223,25
2,55,10,30,96,-66,0,5.508835349121,0,0,119,0,1965,1533,-46
2,56,10,72,42,30,1,4.43047933774051,0,0,113,0,1874,1154,-8
2,57,10,70,12,58,0,4.39582214981783,0,0,109,0,1136,2427,38
2,58,10,19,74,-55,0,7.48246330839811,0,0,81,0,3348,2863,-24
2,59,10,44,98,-54,1,6.88486016290426,0,0,0,0,3111,2113,48
2,60,10,72,0,72,0,3.69479382678583,0,0,81,0,1486,894,50
2,61,1.5,39,76,-37,0,0.791428117804571,0,0,132,0,108,168,-26
2,62,1.5,99,22,77,1,0.734540557146829,0,0,218,8,206,192,-28
2,63,1.5,18,93,-75,0,1.06368392315744,0,0,274,0,481,180,-43
2,64,1.5,43,97,-54,1,1.16404179104484,0,0,219,18,79,149,47
2,65,1.5,7,88,-81,0,0.883710336856893,0,0,279,0,351,143,-38
2,66,1.5,46,96,-50,1,0.830819546182283,0,0,237,0,67,223,46
2,67,1.5,19,81,-62,0,0.788558231685784,0,0,237,0,123,169,-31
2,68,1.5,9,98,-89,0,0.659711604714175,0,0,270,0,115,157,-48
2,69,1.5,40,95,-55,NaN,NaN,0,0,167,0,465,402,0
2,70,1.5,39,86,-47,0,0.755377494063396,0,0,127,0,168,89,-36
2,71,1.5,19,76,-57,0,0.576563393676224,0,0,271,0,38,150,-26
