subj,exp,tp,self,other,fair,resp,rt,given,gen
2,1,10,53,10,43,0,3.69955958762876,40,0
2,1,10,32,60,-28,1,3.49138217640302,10,0
2,1,10,0,65,-65,1,3.81203097365415,15,0
2,1,10,61,32,29,0,3.12001319587671,18,0
2,1,10,4,73,-69,1,3.92726506300096,23,0
2,1,10,47,100,-53,0,5.2144975028632,-50,0
2,1,1.5,84,48,36,1,0.630595738832199,-2,0
2,1,1.5,88,49,39,0,0.761800870561274,1,0
2,1,1.5,80,21,59,0,0.59980169530354,29,0
2,1,1.5,33,78,-45,1,0.723806643756689,28,0
2,1,1.5,47,100,-53,1,1.06708710194744,50,0
2,1,1.5,48,56,-8,0,0.764448476516918,-6,0
2,1,1.5,35,92,-57,1,0.538373791523554,42,0
2,1,1.5,11,94,-83,1,0.705039541810038,44,0
2,1,1.5,96,9,87,0,0.74498052691888,41,0
2,1,1.5,35,94,-59,0,0.759637846505939,-44,0
2,1,1.5,92,32,60,0,0.79628865979339,18,0
2,1,1.5,45,56,-11,0,0.93696843069938,-6,0
2,1,1.5,7,86,-79,1,0.671558671248931,36,0
2,1,1.5,53,40,13,0,0.68091931271465,10,0
2,1,1.5,47,81,-34,1,0.746120870561754,31,0
2,1,1.5,3,81,-78,1,0.848789186712565,31,0
2,1,1.5,49,99,-50,0,1.03480485681575,-49,0
2,1,1.5,21,85,-64,1,0.717405177549153,35,0
2,1,1.5,32,87,-55,1,0.732740985108649,37,0
2,1,1.5,10,56,-46,1,0.931350652920628,6,0
2,1,10,73,11,62,0,1.61686506300157,39,0
2,1,10,3,98,-95,1,4.05059702176368,48,0
2,1,10,76,10,66,0,4.46854781214279,40,0
2,1,10,0,63,-63,1,2.89375193585329,13,0
2,1,10,69,40,29,0,2.6704656128295,10,0
2,1,10,49,98,-49,1,2.31979766323093,48,0
2,1,10,16,97,-81,1,2.75044508591054,47,0
2,1,10,59,4,55,1,3.88426116838491,-46,0
2,1,10,56,28,28,0,5.11617649484469,22,0
2,1,10,16,85,-69,1,3.66749287514358,35,0
2,1,10,26,53,-27,1,4.46742396334412,3,0
2,1,10,91,23,68,0,2.85273878579574,27,0
2,1,10,100,29,71,0,4.01403601374477,21,0
2,1,10,49,98,-49,1,5.08992476517778,48,0
2,1,10,49,90,-41,1,3.49793502863758,40,0
2,1,10,90,28,62,1,5.05780930125911,-22,0
2,1,10,66,18,48,1,5.4350258877439,-32,0
2,1,10,40,52,-12,1,2.93372114547674,2,0
2,1,10,11,91,-80,1,2.92362226804107,41,0
2,1,10,92,33,59,0,5.89088989690754,17,0
2,1,1.5,44,61,-17,1,0.724944054982188,11,0
2,1,1.5,78,23,55,1,0.323567285224271,-27,0
2,1,1.5,24,77,-53,1,0.282175486827327,27,0
2,1,1.5,49,98,-49,1,0.266100343642393,48,0
2,1,1.5,46,66,-20,1,0.274811454753944,16,0
2,1,1.5,97,18,79,1,0.275456586483415,-32,0
2,1,1.5,14,98,-84,1,0.756744650629116,48,0
2,1,1.5,11,90,-79,1,0.714079816723824,40,0
2,1,1.5,46,82,-36,1,0.769423321879003,32,0
2,1,1.5,28,76,-48,0,0.733974432989271,-26,0
2,1,1.5,82,41,41,0,0.475299702176926,9,0
2,1,1.5,31,75,-44,1,0.707920274913704,25,0
2,1,1.5,49,98,-49,1,0.715247285223086,48,0
2,1,1.5,26,53,-27,1,0.60191706758269,3,0
2,1,1.5,28,75,-47,1,0.5492248339051,25,0
2,1,1.5,98,4,94,0,0.586535074455242,46,0
2,1,1.5,43,99,-56,1,0.758379839633562,49,0
2,1,1.5,69,38,31,1,0.307771088200752,-12,0
2,1,1.5,21,65,-44,1,0.539151615119408,15,0
2,1,1.5,26,77,-51,1,0.504998487971534,27,0
2,1,10,6,81,-75,1,0.87385658648418,31,0
2,1,10,89,34,55,0,2.80087276059567,16,0
2,1,10,7,95,-88,1,4.68421681557811,45,0
2,1,10,32,79,-47,1,2.52421534937093,29,0
2,1,10,26,86,-60,1,4.32273704467298,36,0
2,1,10,49,98,-49,1,7.32118469644956,48,0
2,1,10,16,94,-78,1,1.68003702176247,44,0
2,1,10,6,98,-92,1,2.78459821305842,48,0
2,1,10,86,6,80,0,3.5325969301266,44,0
2,1,10,32,70,-38,1,3.38647935853442,20,0
2,1,10,53,23,30,0,3.01370098510961,27,0
2,1,10,54,38,16,0,3.94500032073302,12,0
2,1,10,86,8,78,0,1.92702570446636,42,0
2,1,10,44,60,-16,1,3.18078203894584,10,0
2,1,10,54,33,21,0,3.04150542955358,17,0
2,1,10,75,22,53,0,2.73138400916287,28,0
2,1,10,49,98,-49,1,2.83337640320678,48,0
2,1,10,26,88,-62,1,3.58727514318525,38,0
2,1,10,10,96,-86,1,4.49526359679294,46,0
2,1,10,15,97,-82,1,2.87915143184364,47,0
2,1,1.5,6,54,-48,1,0.371190836196547,4,0
2,1,1.5,70,31,39,1,0.295880137457061,-19,0
2,1,1.5,28,93,-65,1,0.295821855670511,43,0
2,1,1.5,49,98,-49,1,0.583796197021002,48,0
2,1,1.5,50,50,0,0,0.515706575028162,0,0
2,1,1.5,49,85,-36,1,0.618342634594228,35,0
2,1,1.5,25,60,-35,1,1.03703642611799,10,0
2,1,1.5,92,34,58,0,0.599041832760122,16,0
2,1,1.5,24,86,-62,1,0.602350332188507,36,0
2,1,1.5,15,91,-76,1,0.573593951890871,41,0
2,1,1.5,40,80,-40,1,0.648949003436428,30,0
2,1,1.5,23,76,-53,1,0.578190515463575,26,0
2,1,1.5,4,97,-93,1,0.718839495990323,47,0
2,1,1.5,19,88,-69,1,0.541524673539243,38,0
2,1,1.5,22,58,-36,1,0.627468682703693,8,0
2,1,1.5,49,53,-4,1,0.886143780069688,3,0
2,1,1.5,17,90,-73,1,0.534114455898816,40,0
2,1,1.5,16,81,-65,1,0.604136174111773,31,0
2,1,1.5,89,37,52,0,0.887347903781119,13,0
2,1,1.5,27,98,-71,1,0.65534863688481,48,0
2,1,10,49,98,-49,1,2.50476792668996,48,0
2,1,10,85,15,70,0,4.66396517754947,35,0
2,1,10,5,79,-74,1,3.32923528064202,29,0
2,1,10,50,72,-22,1,2.15188600229158,22,0
2,1,10,21,85,-64,1,2.6356504925534,35,0
2,1,10,91,9,82,0,2.97363977090572,41,0
2,1,10,35,86,-51,1,2.33835473081308,36,0
2,1,10,3,85,-82,1,1.92831156930151,35,0
2,1,10,75,50,25,0,2.64549315005752,0,0
2,1,10,30,82,-52,1,2.67946446735368,32,0
2,1,10,13,94,-81,1,4.11070460481096,44,0
2,1,10,61,8,53,0,2.74198286368846,42,0
2,1,10,96,33,63,0,3.02794153493596,17,0
2,1,10,14,70,-56,1,3.97451876288687,20,0
2,1,10,0,86,-86,1,3.06716407789281,36,0
2,1,10,32,70,-38,1,3.4197347995414,20,0
2,1,10,62,15,47,0,2.9424010996554,35,0
2,1,10,51,1,50,0,3.46831138602647,49,0
2,1,10,21,81,-60,1,3.32494625429536,31,0
2,1,10,53,43,10,0,3.20349250858999,7,0
2,1,1.5,7,65,-58,1,0.530180618558006,15,0
2,1,1.5,10,93,-83,1,0.536868361970846,43,0
2,1,1.5,7,96,-89,1,0.478820801832626,46,0
2,1,1.5,58,9,49,0,0.495494524628157,41,0
2,1,1.5,46,71,-25,1,0.919413150057153,21,0
2,1,1.5,49,98,-49,1,0.734090263458711,48,0
2,1,1.5,52,43,9,1,0.764021809851329,-7,0
2,1,1.5,26,82,-56,1,0.545323619700866,32,0
2,1,1.5,84,10,74,0,0.663324077893776,40,0
2,1,1.5,86,35,51,0,0.832663825887721,15,0
2,1,1.5,33,95,-62,1,0.72189507445546,45,0
2,1,1.5,4,67,-63,1,0.447885269186372,17,0
2,1,1.5,33,63,-30,1,0.585844123712377,13,0
2,1,1.5,0,98,-98,1,0.541174982816301,48,0
2,1,1.5,55,11,44,0,0.699121191293671,39,0
2,1,1.5,37,99,-62,1,0.530477525773676,49,0
2,1,1.5,49,98,-49,1,0.649111019474731,48,0
